_u1.oktmo_code,_u1.osm_name,_u1.region_code
4601000,Абанский район,KYA
4603000,Ачинский район,KYA
4604000,Балахтинский район,KYA
4605000,Березовский район,KYA
4606000,Бирилюсский район,KYA
4608000,Боготольский район,KYA
4609000,Богучанский район,KYA
4610000,Большемуртинский район,KYA
4611000,Большеулуйский район,KYA
4613000,Дзержинский район,KYA
4614000,Емельяновский район,KYA
4615000,Енисейский район,KYA
4616000,Ермаковский район,KYA
4617000,Идринский район,KYA
4618000,Иланский район,KYA
4619000,Ирбейский район,KYA
4620000,Казачинский район,KYA
4621000,Канский район,KYA
4622000,Каратузский район,KYA
4624000,Кежемский район,KYA
4626000,Козульский район,KYA
4628000,Краснотуранский,KYA
4630000,Курагинский район,KYA
4631000,Манский район,KYA
4633000,Минусинский район,KYA
4635000,Мотыгинский район,KYA
4637000,Назаровский район,KYA
4639000,Нижнеингашский район,KYA
4641000,Новоселовский район,KYA
4643000,Партизанский район,KYA
4645000,Пировский район,KYA
4647000,Рыбинский район,KYA
4648000,Саянский район,KYA
4649000,Северо-Енисейский район,KYA
4651000,Сухобузимский район,KYA
4652000,Тасеевский район,KYA
4654000,Туруханский  район,KYA
4655000,Тюхтетский район,KYA
4656000,Ужурский район,KYA
4657000,Уярский район,KYA
4658000,Шарыповский район,KYA
4659000,Шушенский район,KYA
46605000,Волоколамский район,MOS
46606000,Воскресенский район,MOS
46608000,Дмитровский район,MOS
46612000,Егорьевский район,MOS
46615000,Сергиево-Посадский район,MOS
46616000,Зарайский район,MOS
46618000,Истринский район,MOS
46620000,Каширский район,MOS
46621000,Клинский район,MOS
46622000,Коломенский район,MOS
46623000,Красногорский район,MOS
46628000,Ленинский район,MOS
46629000,Лотошинский район,MOS
46630000,Луховицкий район,MOS
