dt,hour,tid,gender,age,customers_cnt
2016-02-01,22,Shuka,2,2,11
2016-02-01,22,Shuka,2,3,23
2016-02-01,22,Shuka,2,4,4
2016-02-01,23,Himki,1,1,19
2016-02-01,23,Himki,1,2,71
2016-02-01,23,Himki,1,3,42
2016-02-01,23,Himki,1,4,45
2016-02-01,23,Himki,2,1,11
2016-02-01,23,Himki,2,2,23
2016-02-01,23,Himki,2,3,42
2016-02-01,23,Himki,2,4,11
2016-02-01,23,Metropolis,1,1,38
2016-02-01,23,Metropolis,1,2,57
2016-02-01,23,Metropolis,1,3,11
2016-02-01,23,Metropolis,1,4,23
2016-02-01,23,Metropolis,2,1,22
2016-02-01,23,Metropolis,2,2,15
2016-02-01,23,Metropolis,2,3,34
2016-02-01,23,Metropolis,2,4,26
2016-02-01,23,Shuka,1,1,4
2016-02-01,23,Shuka,1,2,15
2016-02-01,23,Shuka,1,3,11
2016-02-01,23,Shuka,1,4,8
2016-02-01,23,Shuka,2,1,4
2016-02-01,23,Shuka,2,2,15
2016-02-01,23,Shuka,2,3,4
2016-02-01,23,Shuka,2,4,4
2016-02-02,0,Himki,1,1,11
2016-02-02,0,Himki,1,2,26
2016-02-02,0,Himki,1,3,11
2016-02-02,0,Himki,1,4,7
2016-02-02,0,Himki,2,2,15
2016-02-02,0,Himki,2,3,26
2016-02-02,0,Metropolis,1,1,4
2016-02-02,0,Metropolis,1,2,38
2016-02-02,0,Metropolis,1,3,15
2016-02-02,0,Metropolis,1,4,19
2016-02-02,0,Metropolis,2,1,4
2016-02-02,0,Metropolis,2,2,15
2016-02-02,0,Metropolis,2,3,11
2016-02-02,0,Metropolis,2,4,4
2016-02-02,0,Shuka,1,2,22
2016-02-02,0,Shuka,1,3,7
2016-02-02,0,Shuka,1,4,4
2016-02-02,0,Shuka,2,1,4
2016-02-02,0,Shuka,2,2,11
2016-02-02,0,Shuka,2,3,4
2016-02-02,0,Shuka,2,4,8
2016-02-02,1,Himki,1,1,11
2016-02-02,1,Himki,1,2,36
2016-02-02,1,Himki,1,3,15
2016-02-02,1,Himki,2,1,4
2016-02-02,1,Himki,2,2,24
2016-02-02,1,Himki,2,3,20
2016-02-02,1,Himki,2,4,8
2016-02-02,1,Metropolis,1,1,20
2016-02-02,1,Metropolis,1,2,30
2016-02-02,1,Metropolis,1,3,11
2016-02-02,1,Metropolis,1,4,14
2016-02-02,1,Metropolis,2,1,4
2016-02-02,1,Metropolis,2,2,23
2016-02-02,1,Metropolis,2,3,8
2016-02-02,1,Metropolis,2,4,8
2016-02-02,1,Shuka,1,1,4
2016-02-02,1,Shuka,1,2,14
2016-02-02,1,Shuka,1,3,8
2016-02-02,1,Shuka,1,4,4
2016-02-02,1,Shuka,2,2,8
2016-02-02,1,Shuka,2,3,4
2016-02-02,1,Shuka,2,4,11
2016-02-02,2,Himki,1,1,19
2016-02-02,2,Himki,1,2,44
2016-02-02,2,Himki,1,3,19
2016-02-02,2,Himki,1,4,7
2016-02-02,2,Himki,2,2,19
2016-02-02,2,Metropolis,1,1,33
2016-02-02,2,Metropolis,1,2,30
2016-02-02,2,Metropolis,1,3,26
2016-02-02,2,Metropolis,1,4,15
2016-02-02,2,Metropolis,2,1,7
2016-02-02,2,Metropolis,2,2,18
2016-02-02,2,Metropolis,2,3,8
2016-02-02,2,Metropolis,2,4,4
2016-02-02,2,Shuka,1,2,19
2016-02-02,2,Shuka,1,3,11
2016-02-02,2,Shuka,2,1,7
2016-02-02,2,Shuka,2,2,23
2016-02-02,2,Shuka,2,3,4
2016-02-02,3,Himki,1,1,11
2016-02-02,3,Himki,1,2,49
2016-02-02,3,Himki,1,3,30
2016-02-02,3,Himki,1,4,4
2016-02-02,3,Himki,2,1,4
2016-02-02,3,Himki,2,2,19
2016-02-02,3,Himki,2,3,23
2016-02-02,3,Himki,2,4,11
2016-02-02,3,Metropolis,1,1,27
2016-02-02,3,Metropolis,1,2,52
2016-02-02,3,Metropolis,1,3,19
2016-02-02,3,Metropolis,2,2,23
2016-02-02,3,Metropolis,2,3,15
2016-02-02,3,Metropolis,2,4,11
2016-02-02,3,Shuka,1,1,15
2016-02-02,3,Shuka,1,2,87
2016-02-02,3,Shuka,1,3,71
2016-02-02,3,Shuka,1,4,38
2016-02-02,3,Shuka,2,1,15
